item_id,name,priority,preferred_zone,placement,placement_note
1,Research_Samples,84,Storage_Bay,,
2,LED_Work_Light,90,Maintenance_Bay,,
3,Pressure_Regulator,16,Airlock,,
4,Emergency_Oxygen_Mask,42,Medical_Bay,,
5,Battery_Pack,93,External_Storage,,
6,Laptop,60,Command_Center,,
7,Emergency_Oxygen_Mask,5,Medical_Bay,,
8,CO2_Scrubber,92,Life_Support,,
9,Emergency_Oxygen_Mask,20,Crew_Quarters,,
10,Food_Packet,41,Storage_Bay,,
11,EV_Suit_Battery,94,Storage_Bay,,
12,Seed_Packets,39,Greenhouse,,
13,Tether_Reel,76,Airlock,,
14,First_Aid_Kit,22,Crew_Quarters,,
15,Fire_Extinguisher,18,Engineering_Bay,,
16,LED_Work_Light,92,Engineering_Bay,,
17,LED_Work_Light,79,Maintenance_Bay,,
18,Radiation_Shield,97,Engineering_Bay,,
19,CO2_Scrubber,11,Life_Support,,
20,Vacuum_Sealed_Tools,17,Storage_Bay,,
21,Space_Suit,24,Storage_Bay,,
22,Thruster_Fuel,74,Engine_Bay,,
23,Pressure_Regulator,88,Airlock,,
24,Radiation_Shield,80,Storage_Bay,,
25,Protein_Bars,86,Crew_Quarters,,
26,Vacuum_Sealed_Tools,93,Maintenance_Bay,,
27,CO2_Scrubber,11,Engineering_Bay,,
28,Seed_Packets,74,Lab,,
29,Oxygen_Cylinder,69,Medical_Bay,,
30,Handheld_Spectrometer,2,Engineering_Bay,,
31,Protein_Bars,36,Crew_Quarters,,
32,Handheld_Spectrometer,11,Lab,,
33,Microgravity_Lab_Kit,64,Crew_Quarters,,
34,Communication_Device,31,Crew_Quarters,,
35,Battery_Pack,93,External_Storage,,
36,Fire_Extinguisher,97,Crew_Quarters,,
37,Antibiotic_Supply,75,Lab,,
38,Microgravity_Lab_Kit,85,Crew_Quarters,,
39,Seed_Packets,13,Lab,,
40,Tether_Reel,22,External_Storage,,
41,Helmet_Visor,63,Storage_Bay,,
42,Water_Bottle,72,Storage_Bay,,
43,Circuit_Board,48,Storage_Bay,,
44,Navigation_Module,21,Command_Center,,
45,EV_Suit_Battery,88,Airlock,,
46,Thruster_Fuel,66,Storage_Bay,,
47,Vacuum_Sealed_Tools,69,Storage_Bay,,
48,Scientific_Sensor,79,Cockpit,,
49,Food_Packet,61,Crew_Quarters,,
50,Tool_Kit,83,Storage_Bay,,
51,Research_Samples,14,Lab,,
52,Protein_Bars,94,Storage_Bay,,
53,Handheld_Spectrometer,21,Engineering_Bay,,
54,Scientific_Sensor,84,Cockpit,,
55,First_Aid_Kit,87,Medical_Bay,,
56,Oxygen_Cylinder,25,Medical_Bay,,
57,Handheld_Spectrometer,88,Engineering_Bay,,
58,CO2_Scrubber,48,Engineering_Bay,,
59,Helmet_Visor,92,Storage_Bay,,
60,Tether_Reel,95,External_Storage,,
61,Research_Samples,60,Lab,,
62,Water_Bottle,20,Storage_Bay,,
63,Radiation_Shield,6,Engineering_Bay,,
64,Emergency_Beacon,13,Cockpit,,
65,Handheld_Spectrometer,69,Lab,,
66,Vacuum_Sealed_Tools,16,Maintenance_Bay,,
67,Scientific_Sensor,94,Cockpit,,
68,Seed_Packets,98,Greenhouse,,
69,Microgravity_Lab_Kit,41,Lab,,
70,Waste_Management_Kit,94,Engineering_Bay,,
71,Water_Bottle,64,Crew_Quarters,,
72,Battery_Pack,37,Power_Bay,,
73,Radiation_Shield,79,Engineering_Bay,,
74,Asteroid_Sample_Container,66,Storage_Bay,,
75,Emergency_Beacon,48,Cockpit,,
76,Space_Suit,17,Airlock,,
77,LED_Work_Light,75,Engineering_Bay,,
78,Tether_Reel,22,Airlock,,
79,CO2_Scrubber,100,Engineering_Bay,,
80,Communication_Device,51,Command_Center,,
81,First_Aid_Kit,99,Medical_Bay,,
82,Scientific_Sensor,28,Lab,,
83,Communication_Device,39,Command_Center,,
84,Food_Packet,94,Crew_Quarters,,
85,Gyroscope_Module,13,Engineering_Bay,,
86,Seed_Packets,70,Lab,,
87,Helmet_Visor,80,Crew_Quarters,,
88,Research_Samples,97,Lab,,
89,Helmet_Visor,9,Crew_Quarters,,
90,Antibiotic_Supply,21,Medical_Bay,,
91,Waste_Management_Kit,76,Engineering_Bay,,
92,CO2_Scrubber,67,Engineering_Bay,,
93,Communication_Device,5,Command_Center,,
94,Emergency_Beacon,37,Cockpit,,
95,Tool_Kit,8,Storage_Bay,,
96,Antibiotic_Supply,35,Medical_Bay,,
97,Water_Bottle,56,Crew_Quarters,,
98,Emergency_Beacon,95,Cockpit,,
99,CO2_Scrubber,41,Life_Support,,
100,CO2_Scrubber,41,Engineering_Bay,,
101,Battery_Pack,37,Power_Bay,,
102,Tether_Reel,28,Airlock,,
103,Thruster_Fuel,5,Engine_Bay,,
104,Gyroscope_Module,78,Cockpit,,
105,Space_Suit,62,Storage_Bay,,
106,Battery_Pack,7,Power_Bay,,
107,Circuit_Board,19,Engineering_Bay,,
108,First_Aid_Kit,76,Medical_Bay,,
109,3D_Printer,34,Engineering_Bay,,
110,Space_Suit,26,Storage_Bay,,
111,Water_Bottle,56,Crew_Quarters,,
112,LED_Work_Light,40,Maintenance_Bay,,
113,3D_Printer,34,Engineering_Bay,,
114,Thruster_Fuel,46,Engine_Bay,,
115,Water_Purification_Unit,4,Crew_Quarters,,
116,Emergency_Oxygen_Mask,35,Medical_Bay,,
117,Scientific_Sensor,76,Lab,,
118,Asteroid_Sample_Container,62,Lab,,
119,Laptop,14,Crew_Quarters,,
120,Emergency_Oxygen_Mask,25,Medical_Bay,,
121,Battery_Pack,77,External_Storage,,
122,Oxygen_Cylinder,18,Crew_Quarters,,
123,Protein_Bars,3,Crew_Quarters,,
124,Communication_Device,9,Crew_Quarters,,
125,Tool_Kit,26,Maintenance_Bay,,
126,Handheld_Spectrometer,83,Engineering_Bay,,
127,Communication_Device,32,Crew_Quarters,,
128,Laptop,37,Crew_Quarters,,
129,Medical_Scanner,42,Medical_Bay,,
130,Research_Samples,57,Storage_Bay,,
131,Radiation_Shield,52,Engineering_Bay,,
132,Protein_Bars,6,Storage_Bay,,
133,Microgravity_Lab_Kit,31,Crew_Quarters,,
134,Thruster_Fuel,35,Storage_Bay,,
135,EV_Suit_Battery,93,Storage_Bay,,
136,Oxygen_Cylinder,67,Medical_Bay,,
137,Radiation_Shield,69,Storage_Bay,,
138,Emergency_Oxygen_Mask,24,Medical_Bay,,
139,Space_Suit,56,Airlock,,
140,Asteroid_Sample_Container,77,Storage_Bay,,
141,Tool_Kit,92,Storage_Bay,,
142,Battery_Pack,82,External_Storage,,
143,Fire_Extinguisher,73,Crew_Quarters,,
144,Water_Purification_Unit,63,Life_Support,,
145,Medical_Scanner,83,Lab,,
146,Lab_Microscope,98,Lab,,
147,Food_Packet,10,Storage_Bay,,
148,Waste_Management_Kit,55,Sanitation_Bay,,
149,CO2_Scrubber,10,Engineering_Bay,,
150,Seed_Packets,93,Lab,,
151,Seed_Packets,5,Greenhouse,,
152,Research_Samples,95,Storage_Bay,,
153,Waste_Management_Kit,80,Sanitation_Bay,,
154,Antibiotic_Supply,54,Lab,,
155,LED_Work_Light,60,Maintenance_Bay,,
156,Battery_Pack,98,External_Storage,,
157,Radiation_Shield,18,Storage_Bay,,
158,Laptop,90,Crew_Quarters,,
159,Gyroscope_Module,88,Engineering_Bay,,
160,LED_Work_Light,1,Engineering_Bay,,
161,Space_Suit,64,Airlock,,
162,Navigation_Module,76,Cockpit,,
163,EV_Suit_Battery,85,Airlock,,
164,Handheld_Spectrometer,26,Lab,,
165,Oxygen_Cylinder,96,Crew_Quarters,,
166,Cooling_System,53,Power_Bay,,
167,Thruster_Fuel,65,Engine_Bay,,
168,Emergency_Beacon,79,Cockpit,,
169,Microgravity_Lab_Kit,54,Lab,,
170,First_Aid_Kit,68,Crew_Quarters,,
171,Cooling_System,9,Engineering_Bay,,
172,Solar_Panel,18,Power_Bay,,
173,EV_Suit_Battery,56,Airlock,,
174,Seed_Packets,13,Lab,,
175,Navigation_Module,32,Command_Center,,
176,Solar_Panel,35,Power_Bay,,
177,Navigation_Module,91,Cockpit,,
178,Seed_Packets,9,Greenhouse,,
179,Antibiotic_Supply,37,Medical_Bay,,
180,Protein_Bars,41,Storage_Bay,,
181,Handheld_Spectrometer,52,Lab,,
182,Antibiotic_Supply,25,Lab,,
183,Battery_Pack,100,External_Storage,,
184,Solar_Panel,76,External_Storage,,
185,Emergency_Oxygen_Mask,99,Crew_Quarters,,
186,Food_Packet,91,Storage_Bay,,
187,First_Aid_Kit,61,Crew_Quarters,,
188,Research_Samples,91,Storage_Bay,,
189,Water_Bottle,90,Storage_Bay,,
190,Cooling_System,57,Power_Bay,,
191,Pressure_Regulator,65,Airlock,,
192,Waste_Management_Kit,95,Engineering_Bay,,
193,Lab_Microscope,8,Medical_Bay,,
194,Waste_Management_Kit,82,Engineering_Bay,,
195,Antibiotic_Supply,51,Lab,,
196,Water_Bottle,13,Storage_Bay,,
197,Communication_Device,95,Crew_Quarters,,
198,Battery_Pack,94,Power_Bay,,
199,Battery_Pack,59,Power_Bay,,
200,CO2_Scrubber,87,Engineering_Bay,,
201,Thruster_Fuel,77,Storage_Bay,,
202,Gyroscope_Module,94,Cockpit,,
203,Antibiotic_Supply,9,Lab,,
204,Asteroid_Sample_Container,70,Lab,,
205,Medical_Scanner,55,Medical_Bay,,
206,Cooling_System,2,Engineering_Bay,,
207,Water_Bottle,17,Crew_Quarters,,
208,Vacuum_Sealed_Tools,26,Maintenance_Bay,,
209,Gyroscope_Module,88,Engineering_Bay,,
210,Lab_Microscope,100,Lab,,
211,Communication_Device,91,Command_Center,,
212,Helmet_Visor,11,Crew_Quarters,,
213,Water_Purification_Unit,48,Life_Support,,
214,EV_Suit_Battery,98,Storage_Bay,,
215,LED_Work_Light,96,Maintenance_Bay,,
216,Radiation_Shield,4,Storage_Bay,,
217,Vacuum_Sealed_Tools,4,Storage_Bay,,
218,Handheld_Spectrometer,20,Lab,,
219,Antibiotic_Supply,100,Lab,,
220,EV_Suit_Battery,85,Storage_Bay,,
221,Navigation_Module,70,Command_Center,,
222,Emergency_Oxygen_Mask,62,Medical_Bay,,
223,Pressure_Regulator,98,Engineering_Bay,,
224,Oxygen_Cylinder,90,Medical_Bay,,
225,Battery_Pack,5,Power_Bay,,
226,Vacuum_Sealed_Tools,74,Maintenance_Bay,,
227,Oxygen_Cylinder,11,Medical_Bay,,
228,EV_Suit_Battery,60,Storage_Bay,,
229,Tether_Reel,82,Airlock,,
230,Space_Suit,5,Storage_Bay,,
231,Cooling_System,11,Engineering_Bay,,
232,Navigation_Module,85,Command_Center,,
233,Pressure_Regulator,60,Airlock,,
234,Helmet_Visor,19,Crew_Quarters,,
235,Handheld_Spectrometer,15,Engineering_Bay,,
236,Scientific_Sensor,59,Lab,,
237,Radiation_Shield,59,Engineering_Bay,,
238,Protein_Bars,39,Storage_Bay,,
239,Lab_Microscope,39,Lab,,
240,Circuit_Board,6,Engineering_Bay,,
241,Asteroid_Sample_Container,97,Lab,,
242,Gyroscope_Module,72,Engineering_Bay,,
243,Tether_Reel,56,Airlock,,
244,Seed_Packets,90,Lab,,
245,Medical_Scanner,67,Lab,,
246,Protein_Bars,12,Crew_Quarters,,
247,Fire_Extinguisher,15,Crew_Quarters,,
248,Handheld_Spectrometer,20,Engineering_Bay,,
249,CO2_Scrubber,64,Life_Support,,
250,Circuit_Board,75,Engineering_Bay,,
251,Oxygen_Cylinder,61,Airlock,,
252,Circuit_Board,78,Storage_Bay,,
253,Radiation_Shield,71,Engineering_Bay,,
254,Tether_Reel,21,Airlock,,
255,3D_Printer,86,Engineering_Bay,,
256,Medical_Scanner,2,Lab,,
257,Communication_Device,39,Crew_Quarters,,
258,Fire_Extinguisher,8,Engineering_Bay,,
259,3D_Printer,95,Lab,,
260,Pressure_Regulator,70,Engineering_Bay,,
261,Antibiotic_Supply,14,Medical_Bay,,
262,Protein_Bars,65,Crew_Quarters,,
263,Microgravity_Lab_Kit,29,Lab,,
264,Lab_Microscope,85,Lab,,
265,3D_Printer,52,Engineering_Bay,,
266,Tool_Kit,27,Storage_Bay,,
267,Tool_Kit,81,Storage_Bay,,
268,Protein_Bars,43,Crew_Quarters,,
269,Seed_Packets,40,Lab,,
270,Communication_Device,17,Command_Center,,
271,Microgravity_Lab_Kit,65,Crew_Quarters,,
272,Food_Packet,7,Storage_Bay,,
273,Gyroscope_Module,52,Cockpit,,
274,Research_Samples,73,Lab,,
275,Tether_Reel,31,Airlock,,
276,Emergency_Beacon,54,Command_Center,,
277,Protein_Bars,46,Storage_Bay,,
278,Scientific_Sensor,100,Lab,,
279,Oxygen_Cylinder,60,Crew_Quarters,,
280,Communication_Device,51,Crew_Quarters,,
281,Emergency_Oxygen_Mask,72,Medical_Bay,,
282,Communication_Device,83,Crew_Quarters,,
283,Battery_Pack,32,External_Storage,,
284,Emergency_Oxygen_Mask,20,Medical_Bay,,
285,Helmet_Visor,81,Crew_Quarters,,
286,Food_Packet,84,Crew_Quarters,,
287,Food_Packet,94,Storage_Bay,,
288,Emergency_Beacon,39,Cockpit,,
289,CO2_Scrubber,19,Engineering_Bay,,
290,Microgravity_Lab_Kit,50,Lab,,
291,Lab_Microscope,96,Medical_Bay,,
292,Fire_Extinguisher,22,Engineering_Bay,,
293,Antibiotic_Supply,38,Lab,,
294,Medical_Scanner,41,Medical_Bay,,
295,Space_Suit,33,Storage_Bay,,
296,Water_Purification_Unit,4,Crew_Quarters,,
297,Laptop,11,Command_Center,,
298,Fire_Extinguisher,14,Crew_Quarters,,
299,Tether_Reel,60,Airlock,,
300,First_Aid_Kit,41,Medical_Bay,,
301,Cooling_System,51,Engineering_Bay,,
302,Gyroscope_Module,13,Cockpit,,
303,CO2_Scrubber,19,Life_Support,,
304,Scientific_Sensor,47,Lab,,
305,Asteroid_Sample_Container,22,Storage_Bay,,
306,Laptop,45,Crew_Quarters,,
307,Circuit_Board,5,Engineering_Bay,,
308,Radiation_Shield,73,Storage_Bay,,
309,LED_Work_Light,79,Maintenance_Bay,,
310,Tether_Reel,33,External_Storage,,
311,Emergency_Oxygen_Mask,49,Medical_Bay,,
312,Tool_Kit,48,Maintenance_Bay,,
313,Pressure_Regulator,93,Engineering_Bay,,
314,Tool_Kit,82,Storage_Bay,,
315,Emergency_Oxygen_Mask,30,Medical_Bay,,
316,Gyroscope_Module,34,Engineering_Bay,,
317,Tool_Kit,35,Storage_Bay,,
318,Asteroid_Sample_Container,8,Storage_Bay,,
319,Battery_Pack,24,External_Storage,,
320,Communication_Device,56,Crew_Quarters,,
321,Radiation_Shield,14,Engineering_Bay,,
322,Solar_Panel,86,Power_Bay,,
323,Cooling_System,48,Power_Bay,,
324,Helmet_Visor,6,Crew_Quarters,,
325,Fire_Extinguisher,22,Crew_Quarters,,
326,Antibiotic_Supply,98,Medical_Bay,,
327,Research_Samples,5,Lab,,
328,Food_Packet,76,Crew_Quarters,,
329,Handheld_Spectrometer,75,Lab,,
330,Asteroid_Sample_Container,73,Storage_Bay,,
331,Navigation_Module,31,Cockpit,,
332,Water_Purification_Unit,24,Crew_Quarters,,
333,Water_Purification_Unit,90,Crew_Quarters,,
334,First_Aid_Kit,23,Medical_Bay,,
335,EV_Suit_Battery,52,Airlock,,
336,Space_Suit,27,Storage_Bay,,
337,Battery_Pack,6,Power_Bay,,
338,Navigation_Module,9,Cockpit,,
339,Water_Bottle,25,Crew_Quarters,,
340,Water_Purification_Unit,99,Life_Support,,
341,Space_Suit,26,Airlock,,
342,Radiation_Shield,17,Storage_Bay,,
343,Water_Purification_Unit,100,Life_Support,,
344,Thruster_Fuel,2,Storage_Bay,,
345,3D_Printer,41,Engineering_Bay,,
346,Scientific_Sensor,85,Lab,,
347,Food_Packet,96,Storage_Bay,,
348,Protein_Bars,50,Crew_Quarters,,
349,Antibiotic_Supply,78,Medical_Bay,,
350,Food_Packet,48,Storage_Bay,,
351,3D_Printer,28,Engineering_Bay,,
352,Helmet_Visor,45,Crew_Quarters,,
353,Emergency_Oxygen_Mask,49,Crew_Quarters,,
354,Emergency_Oxygen_Mask,71,Medical_Bay,,
355,Protein_Bars,16,Storage_Bay,,
356,Waste_Management_Kit,58,Sanitation_Bay,,
357,Vacuum_Sealed_Tools,33,Storage_Bay,,
358,Battery_Pack,1,Power_Bay,,
359,Medical_Scanner,29,Lab,,
360,Waste_Management_Kit,4,Sanitation_Bay,,
361,Battery_Pack,98,Power_Bay,,
362,Seed_Packets,63,Greenhouse,,
363,Lab_Microscope,21,Medical_Bay,,
364,EV_Suit_Battery,15,Storage_Bay,,
365,Helmet_Visor,22,Storage_Bay,,
366,Battery_Pack,67,Power_Bay,,
367,Circuit_Board,19,Engineering_Bay,,
368,Asteroid_Sample_Container,73,Lab,,
369,Circuit_Board,79,Storage_Bay,,
370,Communication_Device,3,Command_Center,,
371,Microgravity_Lab_Kit,51,Crew_Quarters,,
372,Gyroscope_Module,28,Cockpit,,
373,Cooling_System,27,Engineering_Bay,,
374,Vacuum_Sealed_Tools,70,Maintenance_Bay,,
375,Lab_Microscope,97,Lab,,
376,Communication_Device,11,Crew_Quarters,,
377,Oxygen_Cylinder,87,Airlock,,
378,Circuit_Board,26,Storage_Bay,,
379,Scientific_Sensor,49,Lab,,
380,3D_Printer,12,Lab,,
381,Communication_Device,41,Crew_Quarters,,
382,3D_Printer,53,Engineering_Bay,,
383,Medical_Scanner,24,Lab,,
384,Radiation_Shield,34,Storage_Bay,,
385,Circuit_Board,3,Engineering_Bay,,
386,EV_Suit_Battery,17,Airlock,,
387,Water_Bottle,7,Storage_Bay,,
388,Radiation_Shield,95,Storage_Bay,,
389,Antibiotic_Supply,71,Medical_Bay,,
390,Space_Suit,32,Airlock,,
391,EV_Suit_Battery,19,Storage_Bay,,
392,EV_Suit_Battery,96,Airlock,,
393,Antibiotic_Supply,23,Medical_Bay,,
394,Circuit_Board,22,Engineering_Bay,,
395,Microgravity_Lab_Kit,72,Lab,,
396,LED_Work_Light,89,Maintenance_Bay,,
397,Communication_Device,91,Crew_Quarters,,
398,Oxygen_Cylinder,9,Crew_Quarters,,
399,Handheld_Spectrometer,23,Lab,,
400,Communication_Device,58,Crew_Quarters,,
401,LED_Work_Light,100,Engineering_Bay,,
402,CO2_Scrubber,86,Life_Support,,
403,Cooling_System,45,Engineering_Bay,,
404,First_Aid_Kit,67,Crew_Quarters,,
405,Cooling_System,56,Engineering_Bay,,
406,Thruster_Fuel,66,Storage_Bay,,
407,Emergency_Beacon,59,Command_Center,,
408,Gyroscope_Module,74,Engineering_Bay,,
409,Water_Purification_Unit,99,Life_Support,,
410,Microgravity_Lab_Kit,56,Crew_Quarters,,
411,Communication_Device,88,Command_Center,,
412,Scientific_Sensor,83,Cockpit,,
413,Waste_Management_Kit,6,Sanitation_Bay,,
414,Asteroid_Sample_Container,80,Storage_Bay,,
415,Circuit_Board,60,Engineering_Bay,,
416,LED_Work_Light,70,Maintenance_Bay,,
417,LED_Work_Light,97,Maintenance_Bay,,
418,Gyroscope_Module,51,Engineering_Bay,,
419,Microgravity_Lab_Kit,57,Lab,,
420,Radiation_Shield,73,Storage_Bay,,
421,Seed_Packets,68,Greenhouse,,
422,Pressure_Regulator,6,Engineering_Bay,,
423,Tether_Reel,64,Airlock,,
424,Helmet_Visor,8,Crew_Quarters,,
425,Microgravity_Lab_Kit,23,Lab,,
426,Water_Bottle,85,Crew_Quarters,,
427,Tether_Reel,60,External_Storage,,
428,Antibiotic_Supply,78,Lab,,
429,Battery_Pack,78,External_Storage,,
430,3D_Printer,31,Lab,,
431,Pressure_Regulator,6,Engineering_Bay,,
432,Cooling_System,52,Engineering_Bay,,
433,Thruster_Fuel,88,Storage_Bay,,
434,First_Aid_Kit,12,Crew_Quarters,,
435,Microgravity_Lab_Kit,13,Crew_Quarters,,
436,Asteroid_Sample_Container,44,Lab,,
437,Lab_Microscope,82,Lab,,
438,Waste_Management_Kit,7,Engineering_Bay,,
439,Emergency_Beacon,74,Command_Center,,
440,Emergency_Beacon,53,Command_Center,,
441,Battery_Pack,40,External_Storage,,
442,First_Aid_Kit,21,Medical_Bay,,
443,Solar_Panel,4,Power_Bay,,
444,Protein_Bars,97,Crew_Quarters,,
445,Handheld_Spectrometer,59,Lab,,
446,Navigation_Module,64,Command_Center,,
447,Navigation_Module,87,Cockpit,,
448,Radiation_Shield,74,Engineering_Bay,,
449,Seed_Packets,37,Lab,,
450,Pressure_Regulator,13,Airlock,,
451,Fire_Extinguisher,85,Engineering_Bay,,
452,Water_Purification_Unit,57,Life_Support,,
453,LED_Work_Light,57,Maintenance_Bay,,
454,Handheld_Spectrometer,38,Lab,,
455,Thruster_Fuel,70,Engine_Bay,,
456,Water_Purification_Unit,96,Life_Support,,
457,3D_Printer,10,Engineering_Bay,,
458,Laptop,52,Command_Center,,
459,Lab_Microscope,8,Lab,,
460,Thruster_Fuel,55,Engine_Bay,,
461,Waste_Management_Kit,21,Sanitation_Bay,,
462,Communication_Device,74,Command_Center,,
463,Seed_Packets,84,Lab,,
464,First_Aid_Kit,34,Crew_Quarters,,
465,CO2_Scrubber,70,Life_Support,,
466,Circuit_Board,93,Engineering_Bay,,
467,Handheld_Spectrometer,37,Lab,,
468,Radiation_Shield,18,Engineering_Bay,,
469,Solar_Panel,42,External_Storage,,
470,CO2_Scrubber,89,Life_Support,,
471,3D_Printer,7,Lab,,
472,Microgravity_Lab_Kit,86,Lab,,
473,EV_Suit_Battery,74,Storage_Bay,,
474,Laptop,51,Crew_Quarters,,
475,Gyroscope_Module,14,Cockpit,,
476,Emergency_Beacon,39,Cockpit,,
477,EV_Suit_Battery,73,Storage_Bay,,
478,Circuit_Board,25,Storage_Bay,,
479,Waste_Management_Kit,49,Sanitation_Bay,,
480,Communication_Device,56,Command_Center,,
481,Emergency_Beacon,83,Command_Center,,
482,Navigation_Module,84,Cockpit,,
483,Microgravity_Lab_Kit,93,Lab,,
484,CO2_Scrubber,84,Engineering_Bay,,
485,Cooling_System,62,Engineering_Bay,,
486,Research_Samples,38,Storage_Bay,,
487,Laptop,19,Command_Center,,
488,Cooling_System,2,Engineering_Bay,,
489,Pressure_Regulator,53,Engineering_Bay,,
490,Vacuum_Sealed_Tools,100,Storage_Bay,,
491,3D_Printer,29,Lab,,
492,Gyroscope_Module,76,Cockpit,,
493,Asteroid_Sample_Container,92,Storage_Bay,,
494,Space_Suit,13,Storage_Bay,,
495,Fire_Extinguisher,56,Engineering_Bay,,
496,Gyroscope_Module,50,Cockpit,,
497,Cooling_System,89,Engineering_Bay,,
498,Research_Samples,93,Lab,,
499,3D_Printer,63,Lab,,
500,Protein_Bars,1,Crew_Quarters,,
501,CO2_Scrubber,29,Life_Support,,
502,Vacuum_Sealed_Tools,85,Storage_Bay,,
503,Tool_Kit,46,Storage_Bay,,
504,Circuit_Board,20,Engineering_Bay,,
